,Number,Name_of_Covered_Entity,State,Business_Associate_Involved,Individuals_Affected,Date_of_Breach,Type_of_Breach,Location_of_Breached_Information,Date_Posted_or_Updated,,breach_start,breach_end,year
1,0,Brooke Army Medical Center,TX,,1000,10/16/2009,Theft,Paper,30/06/14,,16/10/09,NA,2009
2,1,"Mid America Kidney Stone Association, LLC",MO,,1000,9/22/2009,Theft,Network Server,30/05/14,,22/09/09,NA,2009
3,2,Alaska Department of Health and Social Services,AK,,501,10/12/09,Theft,"Other Portable Electronic Device, Other",23/01/14,,12/10/09,NA,2009
4,3,"Health Services for Children with Special Needs, Inc.",DC,,3800,10/09/09,Loss,Laptop,23/01/14,,09/10/09,NA,2009
5,4,"L. Douglas Carlson, M.D.",CA,,5257,9/27/2009,Theft,Desktop Computer,23/01/14,,27/09/09,NA,2009
6,5,"David I. Cohen, MD",CA,,857,9/27/2009,Theft,Desktop Computer,23/01/14,,27/09/09,NA,2009
7,6,"Michele Del Vicario, MD",CA,,6145,9/27/2009,Theft,Desktop Computer,23/01/14,,27/09/09,NA,2009
8,7,"Joseph F. Lopez, MD",CA,,952,9/27/2009,Theft,Desktop Computer,23/01/14,,27/09/09,NA,2009
9,8,"Mark D. Lurie, MD",CA,,5166,9/27/2009,Theft,Desktop Computer,23/01/14,,27/09/09,NA,2009
10,9,City of Hope National Medical Center,CA,,5900,9/27/2009,Theft,Laptop,23/01/14,,27/09/09,NA,2009
11,10,The Children's Hospital of Philadelphia,PA,,943,10/20/2009,Theft,Laptop,23/01/14,,20/10/09,NA,2009
12,11,"Cogent Healthcare of Wisconsin, S.C.",TN,,6400,10/11/09,Theft,Laptop,23/04/14,,11/10/09,NA,2009
13,12,Universal American,NY,"Democracy Data & Communications, LLC (",83000,11/12/09,Other,Paper,23/01/14,,12/11/09,NA,2009
14,13,Kern Medical Center,CA,,596,10/31/2009,Theft,Other,23/01/14,,31/10/09,NA,2009
15,14,"Keith W. Mann, DDS, PLLC",NC,"Rick Lawson, Professional Computer Services",2000,12/08/09,Hacking/IT Incident,"Desktop Computer, Network Server, Electronic Medical Record",23/01/14,,08/12/09,NA,2009
16,15,Detroit Department of Health and Wellness Promotion,MI,,10000,10/22/2009,Theft,Other Portable Electronic Device,23/01/14,,22/10/09,NA,2009
17,16,Detroit Department of Health and Wellness Promotion,MI,,646,11/26/2009,Theft,"Laptop, Desktop Computer",23/01/14,,26/11/09,NA,2009
18,17,"University of California, San Francisco",CA,,610,9/22/2009,Other,E-mail,23/01/14,,22/09/09,NA,2009
19,18,Daniel J. Sigman MD PC,MA,,1860,12/11/09,Theft,"Other Portable Electronic Device, Other, Electronic Medical Record",23/01/14,,11/12/09,NA,2009
20,19,Massachusetts Eye and Ear Infirmary,MA,,1076,11/10/09,Theft,Other,23/01/14,,10/11/09,NA,2009
21,20,BlueCross BlueShield Association,DC,Service Benefits Plan Administrative Services Corp,3400,10/26/2009,Theft,Paper,30/06/14,,26/10/09,NA,2009
22,21,BlueCross BlueShield Association,DC,Merkle Direct Marketing,15000,10/07/09,Theft,Paper,24/04/14,,07/10/09,NA,2009
23,22,Kaiser Permanente Medical Care Program,CA,,15500,12/01/09,Theft,"Other Portable Electronic Device, Other",23/01/14,,01/12/09,NA,2009
24,23,Blue Island Radiology Consultants,IL,United Micro Data,2562,12/09/09,Theft,Other,30/06/14,,09/12/09,NA,2009
25,24,"Goodwill Industries of Greater Grand Rapids, Inc.",MI,,10000,12/15/2009,Theft,Other,23/01/14,,15/12/09,NA,2009
26,25,Children's Medical Center of Dallas,TX,,3800,11/19/2009,Loss,"Other Portable Electronic Device, Other",23/01/14,,19/11/09,NA,2009
27,26,Concentra,TX,,900,11/19/2009,Theft,Laptop,23/01/14,,19/11/09,NA,2009
28,27,Ashley and Gray DDS,MO,,9309,01/10/10,Theft,Desktop Computer,23/01/14,,10/01/10,NA,2010
29,28,Advocate Health Care,IL,,812,11/24/2009,Theft,Laptop,23/01/14,,24/11/09,NA,2009
30,29,The Methodist Hospital,TX,,689,1/18/2010,Theft,Other,23/01/14,,18/01/10,NA,2010
31,30,"University of California, San Francisco",CA,,7300,11/30/2009,Theft,Laptop,23/01/14,,30/11/09,NA,2009
32,31,Carle Clinic Association,IL,,1300,1/13/2010,Theft,"Other, Paper",23/01/14,,13/01/10,NA,2010
33,32,Educators Mutual Insurance Association of Utah ,UT,Health Behavior Innovations (HBI),5700,12/27/2009,Theft,Other,23/01/14,,27/12/09,NA,2009
34,33,University Medical Center of Southern Nevada,NV,,5103,10/31/2009,Theft,Paper,23/01/14,,31/10/09,NA,2009
35,34,Center for Neurosciences,AZ,,1100,12/15/2009,Theft,Laptop,23/01/14,,15/12/09,NA,2009
36,35,Brown University,RI,Blue Cross Blue Shield of RI,528,12/11/09,Other,Paper,23/01/14,,11/12/09,NA,2009
37,36,MMM Heath Care Inc. ,PR,"MSO of Puerto Rico, Inc. ",1907,02/04/10,Theft,Paper,03/06/14,,04/02/10,NA,2010
38,37,PMC Medicare Choice,PR,MSO of Puerto Rico,605,02/04/10,Theft,Paper,03/06/14,,04/02/10,NA,2010
39,38,Cardiology Consultants/Baptist Health Care Corporation,FL,,8000,12/19/2009,Theft,Desktop Computer,30/06/14,,19/12/09,NA,2009
40,39,"State of TN, Bureau of TennCare",TN,,3900,12/23/2009,Theft,Paper,24/06/14,,23/12/09,NA,2009
41,40,Lucille Packard Children's Hospital,CA,,532,01/11/10,Other,Desktop Computer,23/01/14,,11/01/10,NA,2010
42,41,University of New Mexico Health Sciences Center,NM,,1900,02/08/10,Other,Desktop Computer,23/01/14,,08/02/10,NA,2010
43,42,Advanced NeuroSpinal Care,CA,,3500,12/30/2009,Theft,Network Server,22/04/14,,30/12/09,NA,2009
44,43,Aspen Dental Care P.C.,CO,,2500,10/04/09,Theft,Other,30/06/14,,04/10/09,NA,2009
45,44,Shands at UF,FL,,12580,1/27/2010,Theft,Laptop,23/01/14,,27/01/10,NA,2010
46,45,Wyoming Department of Health,WY,,9023,12/02/09,Unauthorized Access/Disclosure ,Network Server,23/01/14,,02/12/09,NA,2009
47,46,Thrivent Financial for Lutherans,WI,,9500,1/29/2010,Theft,Laptop,23/01/14,,29/01/10,NA,2010
48,47,North Carolina Baptist Hospital,NC,,554,2/15/2010,Theft,Paper,23/01/14,,15/02/10,NA,2010
49,48,Montefiore Medical Center,NY,,625,2/20/2010,Theft,Laptop,03/06/14,,20/02/10,NA,2010
50,49,"Ernest T. Bice, Jr. DDS, P.A.",TX,,21000,2/20/2010,Theft,"Other Portable Electronic Device, Other",23/01/14,,20/02/10,NA,2010
51,50,Lee Memorial Health System,FL,,3800,1/29/2010,Other,Paper,23/01/14,,29/01/10,NA,2010
52,51,"Laboratory Corporation of America/Dynacare Northwest, Inc.",WA,,5080,02/12/10,Theft,Laptop,23/01/14,,12/02/10,NA,2010
53,52,Mount Sinai Medical Center,FL,,2600,03/09/10,Theft,Laptop,23/01/14,,09/03/10,NA,2010
54,53,Griffin Hospital,CT,,957,02/04/10,Hacking/IT Incident,Network Server,23/01/14,,04/02/10,NA,2010
55,54,"Hypertension, Nephrology, Dialysis and Transplantation, PC",AL,,2465,03/06/10,Theft,Laptop,23/01/14,,06/03/10,NA,2010
56,55,Reliant Rehabilitation Hospital North Houston,TX,"Computer Program and Systems, Inc. (CPSI)",768,02/09/10,Unauthorized Access/Disclosure ,E-mail,23/01/14,,09/02/10,NA,2010
57,56,"Laboratory Corporation of America / US LABS / Dianon Systems, Inc",AZ,,2773,2/18/2010,Theft,Other Portable Electronic Device,23/01/14,,18/02/10,NA,2010
58,57,University of Pittsburgh Student Health Center,PA,,8000,03/11/10,"Theft, Loss",Paper,23/01/14,,11/03/10,NA,2010
59,58,Providence Hospital,MI,,83945,02/04/10,Other,Other,23/01/14,,04/02/10,NA,2010
60,59,VHS Genesis Lab Inc. ,IL,,6800,01/10/10,Loss,Paper,23/01/14,,10/01/10,NA,2010
61,60,John Muir Physician Network,CA,,5450,02/04/10,Theft,Laptop,23/01/14,,04/02/10,NA,2010
62,61,Beatrice Community Hospital and Health Center,NE,"McKesson Information Solutions, LLC",660,3/19/2010,Other,Paper,23/01/14,,19/03/10,NA,2010
63,62,Pediatric Sports and Spine Associates,TX,,955,02/10/10,Theft,Laptop,23/01/14,,10/02/10,NA,2010
64,63,"Affinity Health Plan, Inc.",NY,,344579,11/24/2009,Theft,Other,28/05/14,,24/11/09,NA,2009
65,64,Tomah Memorial Hospital,WI,,600,3/19/2010,Other,Other,23/01/14,,19/03/10,NA,2010
66,65,"Praxair Healthcare Services, Inc. (Home Care Supply in NY)",CT,,54165,2/18/2010,Theft,Laptop,23/01/14,,18/02/10,NA,2010
67,66,Massachusetts Eye and Ear Infirmary,MA,,3594,2/19/2010,Theft,Laptop,23/01/14,,19/02/10,NA,2010
68,67,Blue Cross & Blue Shield of Rhode Island,RI,,12000,12/20/2009,Theft,Paper,30/06/14,,20/12/09,NA,2009
69,68,South Carolina Department of Health and Environmental Control,SC,,2850,2/17/2010,Improper Disposal,Paper,23/01/14,,17/02/10,NA,2010
70,69,St. Joseph Heritage Healthcare,CA,,22012,03/06/10,Theft,Desktop Computer,23/01/14,,06/03/10,NA,2010
71,70,Medical Center At Bowling Green,KY,,5148,3/24/2010,Theft,"Other Portable Electronic Device, Other",23/01/14,,24/03/10,NA,2010
72,71,GENERAL AGENCIES WELFARE BENEFITS PROGRAM,TN,TOWERS WATSON,1874,02/05/10,Loss,Other,23/01/14,,05/02/10,NA,2010
